"","id","decade","name","artist","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit","popularity","release_date","year"
"16","00IrSynHsun7DpDrLkRIjM","80s","The Boy In The Bubble","Paul Simon",0.62,0.703,2,-7.854,1,0.0836,0.479,0,0.14,0.559,136.155,239693,4,29.56544,12,1,0,52,"1986-08-12",1986
"17","00iVYbSh1B77akx1ITNWUL","80s","New Thing","Enuff Z'Nuff",0.373,0.884,4,-7.707,1,0.0421,0.00409,0,0.329,0.28,130.099,257920,4,45.37608,11,1,0,34,"1989-08-18",1989
"18","00ko9WaS4jOX1kEk3gvHjf","10s","Hot Shower","Chance The Rapper Featuring MadeinTYO & DaBaby",0.897,0.522,2,-7.578,1,0.374,0.0016,0,0.0554,0.623,149.986,225924,4,22.43194,9,1,1,70,"2019-07-26",2019
"19","00kvKlIvfzQLSi6T2zwXuS","70s","Strawberry Letter 23","The Brothers Johnson",0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,299067,4,24.78503,9,1,0,62,"1977-01-01",1977
"20","00Mb3DuaIH1kjrwOku9CGU","00s","Sk8er Boi","Avril Lavigne",0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4,39.84521,8,1,0,75,"2002-06-04",2002
"21","00NAQYOP4AmWR549nnYJZu","10s","Secrets","The Weeknd",0.665,0.771,0,-5.779,1,0.0533,0.0155,9.6e-06,0.46,0.764,109.945,265600,4,97.29592,7,1,0,70,"2016-11-25",2016
"22","00nhkvorbdardFjuIi2OOo","90s","The IVth Crusade","Bolt Thrower",0.153,0.783,1,-10.76,1,0.066,0,0.922,0.102,0.109,141.846,298667,3,76.90006,14,0,0,38,"1992",1992
"23","00oIqmk1eRn9D2y8BzNLS1","70s","Paper Roses","Marie Osmond",0.359,0.504,8,-10.555,1,0.0349,0.272,1.52e-05,0.332,0.73,114.172,158973,4,35.70445,10,1,0,38,"2002-01-01",2002
"24","00p615Q4EFYMIAr055wqRu","90s","All About Soul","Billy Joel",0.555,0.86,2,-5.965,0,0.038,0.0386,0,0.325,0.468,108.594,361307,4,53.2698,15,1,0,46,"1993-08-10",1993
"25","00PLtXXER1XcTRZvs3LioS","70s","Get The Funk Out Ma Face","The Brothers Johnson",0.88,0.57,2,-13.145,1,0.0821,0.292,0.0388,0.0674,0.791,106.035,147000,4,57.09352,6,1,0,47,"1976-01-01",1976
"26","00qOE7OjRl0BpYiCiweZB2","80s","Juke Box Hero","Foreigner",0.357,0.653,9,-5.554,1,0.0654,0.0828,0,0.0844,0.522,176.647,259800,4,23.69525,15,1,0,68,"1981",1981
"27","00qP28OLPa3PQ7EmWBsaMK","60s","Adoro","Armando Manzanero",0.535,0.456,2,-7.06,0,0.0286,0.651,0,0.397,0.402,102.648,141667,3,36.15322,8,0,0,58,"1967-05-22",1967
"28","00QyLmjxaSEE8qIZQjBXBj","10s","We Own It (Fast & Furious)","2 Chainz & Wiz Khalifa",0.554,0.899,8,-4.573,1,0.408,0.0521,0,0.0568,0.552,171.966,227893,4,56.87412,8,1,0,61,"2013-01-01",2013
"29","00r22Madn3XaLXpsc9PvhC","70s","Hard Times","Boz Scaggs",0.75,0.485,9,-12.649,0,0.0327,0.013,0.207,0.153,0.662,100.328,269800,4,26.96545,14,1,0,26,"1977",1977
"30","00r32apS17IQFidahJgUFQ","60s","God Rest Ye Merry, Gentlemen","Traditional",0.297,0.315,0,-16.762,0,0.0462,0.954,0.835,0.0945,0.627,160.17,171107,4,29.86604,10,0,0,14,"1962",1962
"31","00r40cNOJTjlNw5cG4ADHf","70s","Dog + Butterfly","Heart",0.657,0.314,4,-18.858,1,0.0329,0.314,4.89e-06,0.12,0.422,124.611,319533,4,64.45183,14,1,0,41,"1978-10-07",1978
"32","00rd6vxwcg4so4ZuxcEHN9","90s","Head Over Heels","Allure Featuring NAS",0.848,0.577,10,-10.07,0,0.103,0.08,0,0.369,0.674,96.045,251707,4,32.93473,12,1,0,34,"1997-05-06",1997
"33","00sydAz6PeOxYzwG1dRIPi","70s","Search and Destroy - Iggy Pop Mix","The Stooges",0.235,0.977,6,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133,4,19.04955,11,0,0,52,"1973-02-07",1973
"34","00U0pedRUMEzREpyRqbVT6","90s","I'll Remember (From ""With Honors"")","Madonna",0.691,0.601,7,-9.698,1,0.0428,0.628,0.017,0.0709,0.85,167.796,263813,4,41.02549,10,1,0,50,"1995-11-17",1995
"35","00vYs0qZA40Z8AAaN7xmMO","80s","Manic Monday","The Bangles",0.685,0.594,2,-10.906,1,0.0289,0.294,3.69e-06,0.358,0.853,121.761,184160,4,51.01785,9,1,0,57,"1986",1986
"36","00X6892vqBVYLpS6Ys6Bom","70s","God, That's Good!","Stephen Sondheim",0.623,0.503,5,-9.398,1,0.0981,0.786,1.19e-06,0.245,0.402,131.233,387080,4,28.10346,20,0,0,24,"1979",1979
"37","00XXUBsdOe8cLPo2p64Dd3","80s","Even Now","Bob Seger & The Silver Bullet Band",0.475,0.954,4,-3.565,1,0.0532,0.0334,2.34e-05,0.234,0.761,151.942,273187,4,57.35714,10,1,0,41,"1982-12-01",1982
"38","013AWvizllIUEC2FOBzOnh","90s","Truly Madly Deeply","Savage Garden",0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,277267,4,47.98965,11,1,0,73,"1997-03-04",1997
"39","014NOunS25K1LbcM6DlQ5I","60s","Till The End Of The Day","The Kinks",0.542,0.929,0,-7.066,1,0.0784,0.526,0.00597,0.125,0.793,140.8,138227,4,88.39831,5,1,0,38,"1965-11-26",1965
"40","014Y7CPce02N9bir2M1ePw","90s","I Do","Lisa Loeb",0.732,0.723,10,-6.659,1,0.0307,0.334,9.34e-05,0.194,0.731,110.173,221093,4,45.08427,10,1,0,37,"1997-01-01",1997
"41","0158TMiGmHyibaDeaUKayX","10s","She Won't Be Lonely Long","Clay Walker",0.635,0.758,7,-5.772,1,0.0243,0.00643,0,0.229,0.322,113.002,209253,4,39.82993,9,1,0,63,"2010-06-08",2010
"42","015A6ZcNAWSSuwY7iDcD1b","90s","When A Woman's Fed Up","R. Kelly",0.682,0.579,2,-6.526,0,0.101,0.467,2.21e-06,0.0952,0.712,76.915,278760,4,57.49305,8,1,1,47,"1996",1996
"43","015qd1I4v00JIoK7yOUgKC","90s","Rush Rush","Paula Abdul",0.706,0.44,4,-11.577,1,0.0493,0.763,0,0.0958,0.395,90.012,292933,4,49.97014,12,1,0,62,"1991-01-01",1991
"44","016HKF7A4O7tatoJ9BgZM1","60s","Say It (Over And Over Again)","John Coltrane Quartet",0.488,0.124,3,-13.038,1,0.0404,0.963,0.333,0.246,0.205,66.105,255960,4,59.36904,10,0,0,42,"1963",1963
"45","01Aj44KIjCrPmZeXq4UOky","00s","Emotion","Destiny's Child",0.412,0.577,7,-4.944,1,0.119,0.163,0,0.0969,0.345,173.675,236400,4,22.96028,14,1,0,58,"2001-05-01",2001
"46","01BlGnXpLuC0BjgUxVYZFb","10s","Never Let You Go","Justin Bieber",0.662,0.811,0,-4.852,1,0.0357,0.00136,1.23e-06,0.251,0.674,103.153,264400,4,19.51632,14,1,0,58,"2010-01-01",2010
"47","01cGujYWGF7JchJLSgf6Ta","90s","Chopped in Half","Obituary",0.257,0.989,10,-5.918,0,0.0867,6.72e-06,0.521,0.263,0.385,109.267,225360,4,41.61336,10,0,0,44,"1990",1990
"48","01CnYyPXMFRzOFVQBU8WMb","00s","This One's For The Girls","Martina McBride",0.613,0.801,8,-4.431,1,0.0354,0.0626,1.15e-05,0.124,0.609,126.966,243160,4,31.22151,11,1,0,56,"2003-09-30",2003
"49","01e8dGbulrphX8j3fZDQYk","10s","I Hold On","Dierks Bentley",0.614,0.715,0,-6.451,1,0.0445,0.0849,0.000316,0.102,0.231,117.956,279533,4,23.8841,12,1,0,60,"2014-01-01",2014
"50","01F8B0dhzGdWvmcSO6vUdi","90s","Just The Two Of Us","Will Smith",0.805,0.638,1,-5.864,1,0.0803,0.141,0,0.322,0.644,94.52,315507,4,15.54987,11,1,0,52,"1997-10-03",1997
"51","01jIO8SJFnpSiNLH1JaBZ5","10s","You","Jacquees",0.735,0.453,8,-8.264,0,0.0602,0.413,0,0.104,0.335,115.002,217387,4,41.355,11,1,1,69,"2018-09-07",2018
"52","01JTNZGPo8RYD8nZA567qV","70s","I've Had Enough","Wings",0.622,0.584,2,-11.737,1,0.0363,0.0141,0.0639,0.272,0.672,127.222,182027,4,30.94724,11,1,0,27,"1978-03-31",1978
"53","01kmJXmeQaNlSZFRyFlSmz","70s","Fire","Ohio Players",0.623,0.681,5,-15.733,1,0.0604,0.101,0.0158,0.269,0.843,107.319,264360,4,25.18352,12,1,0,47,"1976-10-13",1976
"54","01ksPzu3Bw8Lsf9o6xIk8C","10s","Mi Último Deseo","Banda Los Recoditos",0.844,0.639,11,-4.461,0,0.0437,0.62,0,0.46,0.974,121.033,163560,3,54.26862,8,0,0,71,"2013-01-01",2013
"55","01MBhRpvFkbeRwAp7gcF2W","00s","E-Pro","Beck",0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,202360,4,41.09443,10,1,0,56,"2005-01-01",2005
"56","01PiQmG1Ct8Rd21uZGGaYJ","60s","Baron Saturday","The Pretty Things",0.659,0.666,0,-12.526,1,0.0638,0.106,0.000513,0.219,0.484,88.411,241467,4,23.79224,10,0,0,35,"1968-12",1968
"57","01PjrDX13iIjeHc5iJZmb3","80s","Empty Garden (Hey Hey Johnny)","Elton John",0.667,0.363,4,-13.498,1,0.0275,0.138,7.02e-06,0.41,0.224,109.208,308200,4,47.27061,12,1,0,46,"1982-01-01",1982
"58","01PnRJeFSeOgIpBuv1kQKd","60s","Commotion","Creedence Clearwater Revival",0.71,0.665,2,-7.632,1,0.0277,0.053,0.0207,0.177,0.796,127.472,164293,4,33.81253,10,1,0,51,"1969-08-03",1969
"59","01Q1QVzXToNlHRrytdtpR3","80s","If I Had A Rocket Launcher","Bruce Cockburn",0.663,0.647,4,-12.237,0,0.0277,0.217,0.039,0.106,0.601,97.694,297867,4,21.65104,15,1,0,27,"1984",1984
"60","01qoKBIhSo3AlowvoiKPqH","80s","Never Let You Go","Sweet Sensation",0.724,0.79,1,-11.389,1,0.0699,0.000378,0.482,0.0545,0.962,115.421,368333,4,34.52362,18,1,0,30,"1988-05-24",1988
"61","01RcP6fQNIPpQoHncRthSN","70s","Remember Me","Diana Ross",0.671,0.624,2,-7.115,1,0.0259,0.43,7.78e-06,0.0691,0.652,112.709,212413,4,35.00611,9,1,0,36,"1971-07-06",1971
"62","01rYWOpu72uFQORnWN84C3","90s","You Remind Me Of Something","R. Kelly",0.631,0.536,6,-7.194,1,0.0586,0.591,0,0.108,0.829,59.999,249920,4,30.62344,9,1,0,43,"1995-11-10",1995
"63","01tKbq9PNJVgmmUvb7skOP","80s","I Live For Your Love","Natalie Cole",0.327,0.361,6,-9.431,1,0.0319,0.864,0.117,0.13,0.168,84.525,267067,4,59.30493,8,1,0,42,"1987-06-14",1987
"64","01TnVDiet1DFTsyWKUKovl","10s","Numb","XXXTENTACION",0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,4,24.74891,9,1,0,76,"2018-03-16",2018
"65","01TuObJVd7owWchVRuQbQw","10s","#thatPOWER","will.i.am Featuring Justin Bieber",0.797,0.608,6,-6.096,0,0.0583,0.00112,7.66e-05,0.0748,0.403,128,279507,4,29.91553,12,1,0,68,"2013-01-01",2013
"66","01uA4LkBFfp2xEeIojihtC","80s","The Center of My Joy","Richard Smallwood",0.483,0.361,3,-9.537,1,0.0264,0.539,0,0.28,0.232,92.058,317747,4,86.94657,12,0,0,34,"1987-02-03",1987
"67","01uqI4H13Gsd8Lyl1EYd8H","10s","Same Love","Macklemore & Ryan Lewis Featuring Mary Lambert",0.688,0.473,8,-9.059,1,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,4,20.66609,15,1,0,67,"2012-10-09",2012
"68","01VFDkHBNJcCNUjzD3flWg","90s","The Power Of Good-Bye","Madonna",0.534,0.561,5,-11.089,0,0.0409,0.0442,0.678,0.189,0.219,84.978,250560,4,73.6053,7,1,0,56,"1998-03-03",1998
"69","01wn883KcvAKFrn8o0kDgi","80s","Layin' It On The Line","Jefferson Starship",0.648,0.918,0,-4.67,0,0.0447,0.00102,0.0605,0.173,0.654,119.165,251853,4,26.76027,12,1,0,24,"1984-05-30",1984
"70","01xc0Rvv19F2p2wno0KUF4","80s","Heartbeat","Don Johnson",0.623,0.685,6,-11.515,0,0.0368,0.0201,6.38e-06,0.322,0.782,110.045,260333,4,19.8295,11,1,0,44,"1986-09-30",1986
"71","01XFgRZfZI7oBagNf1Loml","10s","Harlem Shake","Baauer",0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664,4,43.71269,9,1,0,58,"2013-02-12",2013
"72","01xMiErR26kH1KCif6uEYI","60s","I'll Cry Instead","The Beatles",0.643,0.73,7,-6.859,1,0.0347,0.0917,0,0.253,0.96,96.711,105987,4,44.40993,5,1,0,46,"1964-07-10",1964
"73","021O8Fvrww2EJB8220tgXo","60s","(Theme From) Valley Of The Dolls","Dionne Warwick",0.23,0.273,5,-13.277,1,0.0352,0.871,2.21e-06,0.059,0.0868,74.919,218840,4,68.85434,10,1,0,36,"1968",1968
"74","022XE9RZVU3a9nULENXfnm","80s","I Lost On Jeopardy","""Weird Al"" Yankovic",0.887,0.769,0,-9.15,0,0.0497,0.347,8.79e-06,0.0507,0.836,113.262,208933,4,47.22589,9,1,0,35,"1984-01-01",1984
"75","023OVLNzXhX0j7CxswUt6D","10s","Cheerleader","OMI",0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,4,36.0984,10,1,0,64,"2015-10-16",2015
"76","0272R2KNbzGpLnXGAWTfZo","90s","O Come All Ye Faithful / O Holy Night - Instrumental","Trans-Siberian Orchestra",0.123,0.545,5,-8.333,1,0.0299,0.00877,0.373,0.129,0.155,168.829,259373,3,33.37925,14,0,0,51,"1996-10-15",1996
"77","027tq4cWr0kRxLTfdxvM1L","90s","4 Seasons Of Loneliness","Boyz II Men",0.583,0.488,6,-10.494,1,0.0444,0.821,1.74e-05,0.115,0.191,98.497,292400,4,43.74053,14,1,0,46,"1997-03-23",1997
"78","02acUMylPHMjJ9miDc9b38","00s","Ever The Same","Rob Thomas",0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,256600,4,41.42314,10,1,0,60,"2005-04-05",2005
"79","02BsTeJE4q5gWOTt58ur5U","80s","I Can't Tell You Why","Eagles",0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,295050,4,40.32704,9,1,0,62,"1979",1979
"80","02D9uD9WQb834Lb54xCvDS","90s","Love U 4 Life","Jodeci",0.606,0.648,0,-7.802,1,0.0466,0.349,0,0.639,0.646,59.041,290067,4,42.72246,13,1,0,54,"1995-01-01",1995
"81","02DoAJpOC8XrHFrYobz48F","60s","Language Of Love","John D. Loudermilk",0.603,0.689,2,-12.078,1,0.0381,0.778,2.42e-05,0.135,0.955,153.098,107333,4,40.08241,6,1,0,34,"1961-11-01",1961
"82","02E4skBHp6ZyoEDgXHcQgu","90s","Satin Doll","Duke Ellington",0.611,0.0975,0,-11.57,1,0.0289,0.745,0.856,0.101,0.399,88.835,179333,4,36.48749,6,0,0,43,"1997-01-01",1997
"83","02eD9ymfJOJOhM97HYp5R9","10s","The House That Built Me","Miranda Lambert",0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12,236627,4,28.38638,13,1,0,65,"2009-09-24",2009
"84","02ExHOhw2fChL4HtZUkkcX","60s","Ese Bolero Es Mío","Javier Solís",0.604,0.175,2,-16.108,1,0.0321,0.864,9.37e-06,0.0727,0.589,106.474,161200,4,25.62311,10,0,0,23,"1963",1963
"85","02GwPAncasVL82yC7y2hmN","00s","Raise Up","Petey Pablo",0.735,0.844,1,-5.215,1,0.167,0.142,0,0.319,0.742,156.069,286427,4,38.12731,12,1,1,54,"2001",2001
"86","02j594FONdBYZ74RObtEPK","80s","Mystery Plane - 1989 DIgital Remaster","The Cramps",0.432,0.979,9,-9.301,1,0.0659,3.22e-05,0.786,0.0957,0.54,113.242,163533,4,121.11175,4,0,0,22,"1980",1980
"87","02jcEwywffn3Tsb48fXmlW","00s","Get The Party Started","P!nk",0.802,0.904,11,-3.267,0,0.0459,0.00108,0,0.173,0.961,128.931,192533,4,72.87538,7,1,0,67,"2001",2001
"88","02lTDOxHeXTHsdwXoz6lpC","90s","In The Meantime","Spacehog",0.269,0.895,9,-6.382,1,0.118,0.083,0.00266,0.153,0.16,168.479,299507,4,35.54904,10,1,0,61,"1995",1995
"89","02MB4hddp5SCLa5fYu0OA3","60s","La bande a bonnot","Joe Dassin",0.864,0.389,9,-8.95,0,0.0976,0.608,0,0.179,0.839,120.217,169600,4,37.73607,7,0,0,33,"1969-08-20",1969
"90","02mQcDoU5cn15U6tqZmL4e","90s","Disappear","INXS",0.645,0.88,9,-3.403,1,0.0329,0.0242,2.04e-06,0.0978,0.834,125.418,250076,4,56.51861,9,1,0,42,"1990",1990
"91","02nH7HXbs3i9kdWef9or8E","90s","Jeeps, Lex Coups, Bimaz & Benz","Lost Boyz",0.562,0.652,1,-9.253,0,0.426,0.0103,0,0.557,0.545,177.987,272467,4,35.4916,12,1,1,47,"1996",1996
"92","02QQXgeAghpU4smdM7l7We","00s","Spotlight","Jennifer Hudson",0.707,0.724,11,-3.887,0,0.051,0.0448,0,0.072,0.659,108.984,250107,4,61.48974,10,1,0,62,"2008-09-30",2008
"93","02srSkeu2pzybuVr2B9TJm","70s","When Will I See You Again","The Three Degrees",0.564,0.594,9,-9.245,1,0.0328,0.732,0.00366,0.343,0.766,120.749,178747,4,63.74011,6,1,0,54,"1973",1973
"94","02tiurLpJcKS0aFVsyvKz3","60s","Porpoise Song","The Monkees",0.32,0.448,9,-8.786,1,0.0275,0.309,0.35,0.263,0.261,64.426,160320,4,25.43413,6,1,0,40,"1968",1968
"95","02UnamzTn2rySwzcMkq5qx","00s","I Melt","Rascal Flatts",0.573,0.662,9,-4.461,1,0.0265,0.209,3.92e-05,0.323,0.256,140.046,234253,4,42.53444,11,1,0,45,"2002-01-01",2002
"96","02WDuAXXKumemrvsmrVBvH","10s","Wavin' Flag","K'Naan",0.584,0.768,0,-4.185,1,0.058,0.329,0,0.0587,0.729,152.005,212867,4,21.28678,11,1,0,47,"2009",2009
"97","02zPo0Dt0R4TTFY5zLJZnK","80s","Neele Neele Ambar Par - Male Version","Kalyanji-Anandji",0.562,0.696,0,-7.612,1,0.0397,0.628,0,0.172,0.722,93.801,320000,4,29.11139,13,0,0,56,"1983-06-10",1983
"98","02ZYIF6aoXo6Zz7EUBpoIc","60s","Sophisticated Cissy","The Meters",0.671,0.46,5,-13.482,1,0.0346,0.267,0.366,0.0379,0.812,142.696,176693,4,35.9915,9,1,0,32,"1969",1969
"99","0301nLjG0ti26rx5ZmfqtP","90s","Scenario","A Tribe Called Quest",0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78,250133,4,43.60878,7,1,0,58,"1991-09-24",1991
"100","030OCtLMrljNhp8OWHBWW3","10s","Hey Daddy (Daddy's Home)","Usher Featuring Plies",0.59,0.698,11,-4.262,1,0.0286,0.000176,0,0.107,0.352,95.975,224093,4,60.38468,9,1,0,59,"2010-03-30",2010
"101","035fw4auzPyaTOkemNVBHe","80s","Blues Power","Eric Clapton And His Band",0.547,0.576,0,-11.511,1,0.0408,0.522,0.00647,0.119,0.846,145.207,188800,4,47.39777,8,1,0,27,"1970-08-01",1970
"102","036GQb6SETOJJG8BxJTNxc","10s","Chloe (You're The One I Want)","Emblem3",0.71,0.925,0,-3.329,1,0.0359,0.039,0,0.127,0.93,118.024,222987,4,32.96246,9,1,0,53,"2013-07-26",2013
"103","03700DXvpDN5MXqaLeU0J0","90s","Restless Heart","Peter Cetera",0.558,0.915,2,-8.501,1,0.0444,0.116,8.5e-06,0.313,0.758,184.78,249107,4,32.42524,10,1,0,44,"1992-06-12",1992
"104","03794FHTruV54i92ZvNESw","90s","Pluto","Björk",0.584,0.823,8,-4.572,1,0.157,0.00227,0.349,0.0754,0.323,148.068,199240,4,39.46298,9,0,0,32,"1997-09-23",1997
"105","038jgLNIvp7QQNf5vILf5d","00s","Kiss This","Aaron Tippin",0.765,0.706,6,-5.477,0,0.026,0.047,4.25e-06,0.36,0.669,116.021,173760,4,18.74487,10,1,0,54,"2000-01-01",2000
"106","03AhYPRQeOqG2j54Tdg94E","80s","Weird Science","Oingo Boingo",0.657,0.826,4,-12.339,1,0.0358,0.0254,0.00974,0.708,0.685,128.144,368760,4,47.52534,15,1,0,52,"1985-01-01",1985
"107","03b1NUHnoavfpLLKcEMfIb","00s","Go Getta","Young Jeezy Featuring R. Kelly",0.397,0.74,3,-6.584,0,0.143,0.105,0,0.15,0.431,174.039,229347,4,19.29173,11,1,1,50,"2006-01-01",2006
"108","03fT3OHB9KyMtGMt2zwqCT","10s","Play It Again","Luke Bryan",0.506,0.886,11,-3.225,1,0.0655,0.0916,0,0.0734,0.595,143.935,226867,4,34.04949,7,1,0,73,"2013-01-01",2013
"109","03gKdAQAswBo7v4p8F1An4","00s","Pacific Theme","Broken Social Scene",0.723,0.703,0,-9.495,1,0.0318,0.0272,0.313,0.0979,0.767,129.725,309187,4,29.21933,12,0,0,49,"2003-03-11",2003
"110","03i9ehMBCqbxKw7wwEycFZ","80s","Only In My Dreams","Debbie Gibson",0.612,0.796,8,-10.885,1,0.0395,0.124,0.00477,0.0888,0.895,124.854,233400,4,36.37169,11,1,0,49,"1987",1987
"111","03KBBkHF2vaeRol4Qt3ccX","60s","L'amore Dice Ciao (Main Titles)","Armando Trovajoli",0.254,0.183,5,-13.423,1,0.0356,0.568,0.03,0.0952,0.289,183.713,192467,4,22.53801,10,0,0,23,"1968",1968
"112","03kZca43rgVgphYctcopJU","00s","Breathe In","Frou Frou",0.75,0.722,4,-7.032,1,0.0308,0.277,0.00213,0.0627,0.759,97.493,277333,4,20.00637,10,0,0,46,"2002-01-01",2002
"113","03L2AoiRbWhvt7BDMx1jUB","10s","U With Me?","Drake",0.429,0.43,2,-11.373,1,0.165,0.337,1.18e-05,0.138,0.125,174.984,297373,4,76.51807,11,1,1,60,"2016-05-06",2016
"114","03LIElMaLbx3Vp9A8w22tm","80s","Tangram (Set 1) - 1995 Remaster","Tangerine Dream",0.314,0.353,2,-12.653,1,0.0317,0.827,0.326,0.093,0.0828,137.949,1192173,4,39.38169,43,0,0,26,"1980-05-01",1980
"115","03lQxZbj8Qxi6W4RFucYDn","60s","Paris au mois d'août","Charles Aznavour",0.208,0.368,10,-7.819,1,0.0341,0.711,0,0.196,0.415,83.896,204307,4,30.80511,12,0,0,41,"1966",1966
"116","03OArDwBMEgtTDcty84Rcp","60s","The Last Waltz","Engelbert Humperdinck",0.406,0.441,2,-11.318,1,0.0299,0.718,1.71e-06,0.196,0.42,109.099,184187,3,32.31999,8,1,0,59,"1967-11-25",1967
"117","03RHLun8Ni9yFjA7vNGOkY","70s","Morning Dance","Spyro Gyra",0.699,0.776,10,-7.283,0,0.0436,0.445,0.654,0.0978,0.839,101.692,236467,4,38.01162,11,1,0,43,"1979-01-01",1979
"118","03SV49CTiBv7llc0s0FqhV","80s","The Hardest Part","Blondie",0.479,0.871,0,-3.366,1,0.0421,0.151,0.000788,0.364,0.79,114.178,222601,4,29.13114,11,1,0,23,"1979-09-28",1979
"119","03tqyYWC9Um2ZqU0ZN849H","10s","No Hands","Waka Flocka Flame Featuring Roscoe Dash & Wale",0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,263773,4,104.7946,6,1,1,75,"2010-10-01",2010
